ประทับเวลา,AccX ,AccY,AccZ,GyrX,GyrY,GyrZ,Temperature
"12/1/2023, 15:17:17",0,,,,,,
"12/1/2023, 15:17:17",,,,,,0,
"12/1/2023, 15:17:17",,,0,,,,
"12/1/2023, 15:17:17",,,,,0,,
"12/1/2023, 15:17:17",,,,0,,,
"12/1/2023, 15:17:17",,0,,,,,
"12/1/2023, 15:17:17",,,,,,,36.53
"12/1/2023, 15:17:18",,,,,,,31.78
"12/1/2023, 15:17:18",,,,-475,,,
"12/1/2023, 15:17:18",,,,,-39,,
"12/1/2023, 15:17:18",,,20144,,,,
"12/1/2023, 15:17:18",868,,,,,,
"12/1/2023, 15:17:18",,,,,,68,
"12/1/2023, 15:17:18",,116,,,,,
"12/1/2023, 15:17:19",,,,,,59,
"12/1/2023, 15:17:19",,,20040,,,,
"12/1/2023, 15:17:19",760,,,,,,
"12/1/2023, 15:17:19",,,,,-55,,
"12/1/2023, 15:17:19",,196,,,,,
"12/1/2023, 15:17:19",,,,,,,31.87
"12/1/2023, 15:17:19",,,,-478,,,
"12/1/2023, 15:17:20",,,19988,,,,
"12/1/2023, 15:17:20",,,,,,,31.97
"12/1/2023, 15:17:20",,164,,,,,
"12/1/2023, 15:17:20",,,,,,62,
"12/1/2023, 15:17:20",,,,,-73,,
"12/1/2023, 15:17:20",760,,,,,,
"12/1/2023, 15:17:20",,,,-487,,,
"12/1/2023, 15:17:21",,,,,-63,,
"12/1/2023, 15:17:21",,136,,,,,
"12/1/2023, 15:17:21",,,,,,,31.92
"12/1/2023, 15:17:21",752,,,,,,
"12/1/2023, 15:17:21",,,,,,50,
"12/1/2023, 15:17:21",,,,-488,,,
"12/1/2023, 15:17:21",,,20012,,,,
"12/1/2023, 15:17:22",,,,-480,,,
"12/1/2023, 15:17:22",,,,,,,32.06
"12/1/2023, 15:17:22",744,,,,,,
"12/1/2023, 15:17:22",,180,,,,,
"12/1/2023, 15:17:22",,,,,-54,,
"12/1/2023, 15:17:22",,,20008,,,,
"12/1/2023, 15:17:22",,,,,,61,
"12/1/2023, 15:17:23",,120,,,,,
"12/1/2023, 15:17:23",,,,,,,32.11
"12/1/2023, 15:17:23",,,,,-69,,
"12/1/2023, 15:17:23",,,,-497,,,
"12/1/2023, 15:17:23",728,,,,,,
"12/1/2023, 15:17:23",,,,,,65,
"12/1/2023, 15:17:23",,,20100,,,,
"12/1/2023, 15:17:24",,,,,,,32.11
"12/1/2023, 15:17:24",,,,,-41,,
"12/1/2023, 15:17:24",,,20040,,,,
"12/1/2023, 15:17:24",,,,,,57,
"12/1/2023, 15:17:24",,,,-482,,,
"12/1/2023, 15:17:24",784,,,,,,
"12/1/2023, 15:17:24",,200,,,,,
"12/1/2023, 15:17:25",,,,,,39,
"12/1/2023, 15:17:25",692,,,,,,
"12/1/2023, 15:17:25",,,,-501,,,
"12/1/2023, 15:17:25",,,20056,,,,
"12/1/2023, 15:17:25",,164,,,,,
"12/1/2023, 15:17:25",,,,,-40,,
"12/1/2023, 15:17:25",,,,,,,32.11
"12/1/2023, 15:17:26",,,20076,,,,
